x [um]	Total Charge Density [C/cm^3]
0.748724	-1.05199e-09
0.749374	-1.05281e-09
0.750025	-1.05362e-09
0.750676	-1.05444e-09
0.751327	-1.05525e-09
0.751977	-1.05607e-09
0.752628	-1.05688e-09
0.753279	-1.0577e-09
0.75393	-1.05851e-09
0.75458	-1.05933e-09
0.755231	-1.06014e-09
0.755882	-1.06096e-09
0.756533	-1.06177e-09
0.757183	-1.06259e-09
0.757834	-1.0634e-09
0.758485	-1.06422e-09
0.759135	-1.06503e-09
0.759786	-1.06585e-09
0.760437	-1.06667e-09
0.761088	-1.06748e-09
0.761738	-1.0683e-09
0.762389	-1.06911e-09
0.76304	-1.06993e-09
0.763691	-1.07074e-09
0.764341	-1.07156e-09
0.764992	-1.07238e-09
0.765643	-1.07319e-09
0.766294	-1.07401e-09
0.766944	-1.07482e-09
0.767595	-1.07564e-09
0.768246	-1.07646e-09
0.768896	-1.07727e-09
0.769547	-1.07809e-09
0.770198	-1.07891e-09
0.770849	-1.07972e-09
0.771499	-1.08054e-09
0.77215	-1.08136e-09
0.772801	-1.08217e-09
0.773452	-1.08299e-09
0.774102	-1.08381e-09
0.774753	-1.08462e-09
0.775404	-1.08544e-09
0.776055	-1.08626e-09
0.776705	-1.08708e-09
0.777356	-1.08789e-09
0.778007	-1.08871e-09
0.778657	-1.08953e-09
0.779308	-1.09035e-09
0.779959	-1.09116e-09
0.78061	-1.09198e-09
0.78126	-1.0928e-09
0.781911	-1.09362e-09
0.782562	-1.09443e-09
0.783213	-1.09525e-09
0.783863	-1.09607e-09
0.784514	-1.09689e-09
0.785165	-1.0977e-09
0.785815	-1.09852e-09
0.786466	-1.09934e-09
0.787117	-1.10016e-09
0.787768	-1.10098e-09
0.788418	-1.1018e-09
0.789069	-1.10261e-09
0.78972	-1.10343e-09
0.790371	-1.10425e-09
0.791021	-1.10507e-09
0.791672	-1.10589e-09
0.792323	-1.10671e-09
0.792974	-1.10753e-09
0.793624	-1.10834e-09
0.794275	-1.10916e-09
0.794926	-1.10998e-09
0.795576	-1.1108e-09
0.796227	-1.11162e-09
0.796878	-1.11244e-09
0.797529	-1.11326e-09
0.798179	-1.11408e-09
0.79883	-1.1149e-09
0.799481	-1.11572e-09
0.800132	-1.11654e-09
0.800782	-1.11736e-09
0.801433	-1.11817e-09
0.802084	-1.11899e-09
0.802735	-1.11981e-09
0.803385	-1.12063e-09
0.804036	-1.12145e-09
0.804687	-1.12227e-09
0.805337	-1.12309e-09
0.805988	-1.12391e-09
0.806639	-1.12473e-09
0.80729	-1.12555e-09
0.80794	-1.12637e-09
0.808591	-1.12719e-09
0.809242	-1.12801e-09
0.809893	-1.12884e-09
0.810543	-1.12966e-09
0.811194	-1.13048e-09
0.811845	-1.1313e-09
0.812496	-1.13212e-09
0.813146	-1.13294e-09
0.813797	-1.13376e-09
0.814448	-1.13458e-09
0.815098	-1.1354e-09
0.815749	-1.13622e-09
0.8164	-1.13704e-09
0.817051	-1.13786e-09
0.817701	-1.13868e-09
0.818352	-1.13951e-09
0.819003	-1.14033e-09
0.819654	-1.14115e-09
0.820304	-1.14197e-09
0.820955	-1.14279e-09
0.821606	-1.14361e-09
0.822256	-1.14443e-09
0.822907	-1.14526e-09
0.823558	-1.14608e-09
0.824209	-1.1469e-09
0.824859	-1.14772e-09
0.82551	-1.14854e-09
0.826161	-1.14937e-09
0.826812	-1.15019e-09
0.827462	-1.15101e-09
0.828113	-1.15183e-09
0.828764	-1.15265e-09
0.829415	-1.15348e-09
0.830065	-1.1543e-09
0.830716	-1.15512e-09
0.831367	-1.15594e-09
0.832017	-1.15677e-09
0.832668	-1.15759e-09
0.833319	-1.15841e-09
0.83397	-1.15923e-09
0.83462	-1.16006e-09
0.835271	-1.16088e-09
0.835922	-1.1617e-09
0.836573	-1.16253e-09
0.837223	-1.16335e-09
0.837874	-1.16417e-09
0.838525	-1.16499e-09
0.839176	-1.16582e-09
0.839826	-1.16664e-09
0.840477	-1.16746e-09
0.841128	-1.16829e-09
0.841778	-1.16911e-09
0.842429	-1.16994e-09
0.84308	-1.17076e-09
0.843731	-1.17158e-09
0.844381	-1.17241e-09
0.845032	-1.17323e-09
0.845683	-1.17405e-09
0.846334	-1.17488e-09
0.846984	-1.1757e-09
0.847635	-1.17653e-09
0.848286	-1.17735e-09
0.848937	-1.17817e-09
0.849587	-1.179e-09
