x [um]	Ec	Ev	Ei	Efn	Efp
0.342016	0.302988	-0.817012	-0.257012	-0.0868864	-0.603592
0.342667	0.302988	-0.817012	-0.257012	-0.0867733	-0.603592
0.343318	0.302988	-0.817012	-0.257012	-0.0866606	-0.603592
0.343968	0.302988	-0.817012	-0.257012	-0.0865484	-0.603592
0.344619	0.302988	-0.817012	-0.257012	-0.0864367	-0.603592
0.34527	0.302988	-0.817012	-0.257012	-0.0863255	-0.603592
0.345921	0.302989	-0.817011	-0.257011	-0.0862147	-0.603592
0.346571	0.302989	-0.817011	-0.257011	-0.0861044	-0.603592
0.347222	0.302989	-0.817011	-0.257011	-0.0859946	-0.603592
0.347873	0.302989	-0.817011	-0.257011	-0.0858853	-0.603592
0.348523	0.302989	-0.817011	-0.257011	-0.0857764	-0.603592
0.349174	0.302989	-0.817011	-0.257011	-0.085668	-0.603592
0.349825	0.302989	-0.817011	-0.257011	-0.08556	-0.603592
0.350476	0.30299	-0.81701	-0.25701	-0.0854525	-0.603592
0.351126	0.30299	-0.81701	-0.25701	-0.0853454	-0.603592
0.351777	0.30299	-0.81701	-0.25701	-0.0852388	-0.603592
0.352428	0.30299	-0.81701	-0.25701	-0.0851326	-0.603592
0.353079	0.30299	-0.81701	-0.25701	-0.0850268	-0.603592
0.353729	0.30299	-0.81701	-0.25701	-0.0849215	-0.603592
0.35438	0.30299	-0.81701	-0.25701	-0.0848166	-0.603592
0.355031	0.30299	-0.81701	-0.25701	-0.0847121	-0.603592
0.355681	0.302991	-0.817009	-0.257009	-0.084608	-0.603592
0.356332	0.302991	-0.817009	-0.257009	-0.0845044	-0.603592
0.356983	0.302991	-0.817009	-0.257009	-0.0844011	-0.603592
0.357634	0.302991	-0.817009	-0.257009	-0.0842983	-0.603592
0.358284	0.302991	-0.817009	-0.257009	-0.0841959	-0.603592
0.358935	0.302991	-0.817009	-0.257009	-0.0840939	-0.603592
0.359586	0.302991	-0.817009	-0.257009	-0.0839923	-0.603592
0.360237	0.302992	-0.817008	-0.257008	-0.083891	-0.603592
0.360887	0.302992	-0.817008	-0.257008	-0.0837902	-0.603592
0.361538	0.302992	-0.817008	-0.257008	-0.0836898	-0.603592
0.362189	0.302992	-0.817008	-0.257008	-0.0835897	-0.603592
0.36284	0.302992	-0.817008	-0.257008	-0.0834901	-0.603592
0.36349	0.302992	-0.817008	-0.257008	-0.0833908	-0.603592
0.364141	0.302992	-0.817008	-0.257008	-0.0832919	-0.603591
0.364792	0.302993	-0.817007	-0.257007	-0.0831934	-0.603591
0.365442	0.302993	-0.817007	-0.257007	-0.0830952	-0.603591
0.366093	0.302993	-0.817007	-0.257007	-0.0829975	-0.603591
0.366744	0.302993	-0.817007	-0.257007	-0.0829001	-0.603591
0.367395	0.302993	-0.817007	-0.257007	-0.082803	-0.603591
0.368045	0.302993	-0.817007	-0.257007	-0.0827063	-0.603591
0.368696	0.302993	-0.817007	-0.257007	-0.08261	-0.603591
0.369347	0.302994	-0.817006	-0.257006	-0.0825141	-0.603591
0.369998	0.302994	-0.817006	-0.257006	-0.0824185	-0.603591
0.370648	0.302994	-0.817006	-0.257006	-0.0823232	-0.603591
0.371299	0.302994	-0.817006	-0.257006	-0.0822283	-0.603591
0.37195	0.302994	-0.817006	-0.257006	-0.0821337	-0.603591
0.372601	0.302994	-0.817006	-0.257006	-0.0820395	-0.603591
