x [um]	Potential [eV]
1.07019	0.248534
1.07084	0.248534
1.07149	0.248534
1.07214	0.248534
1.07279	0.248534
1.07344	0.248534
1.07409	0.248533
1.07474	0.248533
1.07539	0.248533
1.07604	0.248533
1.07669	0.248533
1.07734	0.248533
1.07799	0.248533
1.07864	0.248532
1.0793	0.248532
1.07995	0.248532
1.0806	0.248532
1.08125	0.248532
1.0819	0.248532
1.08255	0.248532
1.0832	0.248532
1.08385	0.248531
1.0845	0.248531
1.08515	0.248531
1.0858	0.248531
1.08645	0.248531
1.0871	0.248531
1.08776	0.248531
1.08841	0.24853
1.08906	0.24853
1.08971	0.24853
1.09036	0.24853
1.09101	0.24853
1.09166	0.24853
1.09231	0.24853
1.09296	0.248529
1.09361	0.248529
1.09426	0.248529
1.09491	0.248529
1.09556	0.248529
1.09621	0.248529
1.09687	0.248529
1.09752	0.248529
1.09817	0.248528
1.09882	0.248528
1.09947	0.248528
1.10012	0.248528
