x [um]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]
0.420755	1.65907e+13	1.00166e+16
0.421405	1.66382e+13	1.00166e+16
0.422056	1.66857e+13	1.00167e+16
0.422707	1.67332e+13	1.00167e+16
0.423358	1.67807e+13	1.00168e+16
0.424008	1.68282e+13	1.00168e+16
0.424659	1.68757e+13	1.00169e+16
0.42531	1.69232e+13	1.00169e+16
0.425961	1.69707e+13	1.0017e+16
0.426611	1.70182e+13	1.0017e+16
0.427262	1.70656e+13	1.00171e+16
0.427913	1.71131e+13	1.00171e+16
0.428563	1.71606e+13	1.00172e+16
0.429214	1.72081e+13	1.00172e+16
0.429865	1.72556e+13	1.00173e+16
0.430516	1.73031e+13	1.00173e+16
0.431166	1.73506e+13	1.00173e+16
0.431817	1.73981e+13	1.00174e+16
0.432468	1.74456e+13	1.00174e+16
0.433119	1.74931e+13	1.00175e+16
0.433769	1.75406e+13	1.00175e+16
0.43442	1.75881e+13	1.00176e+16
0.435071	1.76355e+13	1.00176e+16
0.435722	1.7683e+13	1.00177e+16
0.436372	1.77305e+13	1.00177e+16
0.437023	1.7778e+13	1.00178e+16
0.437674	1.78255e+13	1.00178e+16
0.438324	1.7873e+13	1.00179e+16
0.438975	1.79205e+13	1.00179e+16
0.439626	1.7968e+13	1.0018e+16
0.440277	1.80155e+13	1.0018e+16
0.440927	1.8063e+13	1.00181e+16
0.441578	1.81104e+13	1.00181e+16
0.442229	1.81579e+13	1.00182e+16
0.44288	1.82054e+13	1.00182e+16
0.44353	1.82529e+13	1.00182e+16
0.444181	1.83004e+13	1.00183e+16
0.444832	1.83479e+13	1.00183e+16
0.445483	1.83954e+13	1.00184e+16
0.446133	1.84429e+13	1.00184e+16
0.446784	1.84903e+13	1.00185e+16
0.447435	1.85378e+13	1.00185e+16
0.448085	1.85853e+13	1.00186e+16
0.448736	1.86328e+13	1.00186e+16
0.449387	1.86803e+13	1.00187e+16
0.450038	1.87278e+13	1.00187e+16
0.450688	1.87753e+13	1.00188e+16
0.451339	1.88227e+13	1.00188e+16
0.45199	1.88702e+13	1.00189e+16
0.452641	1.89177e+13	1.00189e+16
0.453291	1.89652e+13	1.0019e+16
0.453942	1.90127e+13	1.0019e+16
0.454593	1.90602e+13	1.00191e+16
0.455244	1.91077e+13	1.00191e+16
0.455894	1.91551e+13	1.00192e+16
0.456545	1.92026e+13	1.00192e+16
0.457196	1.92501e+13	1.00192e+16
0.457846	1.92976e+13	1.00193e+16
0.458497	1.93451e+13	1.00193e+16
0.459148	1.93925e+13	1.00194e+16
0.459799	1.944e+13	1.00194e+16
0.460449	1.94875e+13	1.00195e+16
0.4611	1.9535e+13	1.00195e+16
0.461751	1.95825e+13	1.00196e+16
0.462402	1.963e+13	1.00196e+16
0.463052	1.96774e+13	1.00197e+16
0.463703	1.97249e+13	1.00197e+16
0.464354	1.97724e+13	1.00198e+16
0.465005	1.98199e+13	1.00198e+16
0.465655	1.98674e+13	1.00199e+16
0.466306	1.99148e+13	1.00199e+16
0.466957	1.99623e+13	1.002e+16
0.467607	2.00098e+13	1.002e+16
0.468258	2.00573e+13	1.00201e+16
0.468909	2.01048e+13	1.00201e+16
0.46956	2.01522e+13	1.00201e+16
0.47021	2.01997e+13	1.00202e+16
0.470861	2.02472e+13	1.00202e+16
0.471512	2.02947e+13	1.00203e+16
0.472163	2.03421e+13	1.00203e+16
0.472813	2.03896e+13	1.00204e+16
0.473464	2.04371e+13	1.00204e+16
0.474115	2.04846e+13	1.00205e+16
0.474765	2.05321e+13	1.00205e+16
0.475416	2.05795e+13	1.00206e+16
0.476067	2.0627e+13	1.00206e+16
0.476718	2.06745e+13	1.00207e+16
0.477368	2.0722e+13	1.00207e+16
0.478019	2.07694e+13	1.00208e+16
0.47867	2.08169e+13	1.00208e+16
0.479321	2.08644e+13	1.00209e+16
0.479971	2.09119e+13	1.00209e+16
0.480622	2.09593e+13	1.0021e+16
0.481273	2.10068e+13	1.0021e+16
0.481924	2.10543e+13	1.0021e+16
0.482574	2.11018e+13	1.00211e+16
0.483225	2.11492e+13	1.00211e+16
0.483876	2.11967e+13	1.00212e+16
0.484526	2.12442e+13	1.00212e+16
0.485177	2.12917e+13	1.00213e+16
0.485828	2.13391e+13	1.00213e+16
0.486479	2.13866e+13	1.00214e+16
0.487129	2.14341e+13	1.00214e+16
0.48778	2.14815e+13	1.00215e+16
0.488431	2.1529e+13	1.00215e+16
0.489082	2.15765e+13	1.00216e+16
0.489732	2.1624e+13	1.00216e+16
0.490383	2.16714e+13	1.00217e+16
0.491034	2.17189e+13	1.00217e+16
0.491685	2.17664e+13	1.00218e+16
0.492335	2.18138e+13	1.00218e+16
0.492986	2.18613e+13	1.00219e+16
0.493637	2.19088e+13	1.00219e+16
0.494287	2.19563e+13	1.0022e+16
0.494938	2.20037e+13	1.0022e+16
0.495589	2.20512e+13	1.0022e+16
0.49624	2.20987e+13	1.00221e+16
0.49689	2.21461e+13	1.00221e+16
0.497541	2.21936e+13	1.00222e+16
0.498192	2.22411e+13	1.00222e+16
0.498843	2.22885e+13	1.00223e+16
0.499493	2.2336e+13	1.00223e+16
0.500144	2.23835e+13	1.00224e+16
0.500795	2.24309e+13	1.00224e+16
0.501446	2.24784e+13	1.00225e+16
0.502096	2.25259e+13	1.00225e+16
0.502747	2.25733e+13	1.00226e+16
0.503398	2.26208e+13	1.00226e+16
0.504048	2.26683e+13	1.00227e+16
0.504699	2.27157e+13	1.00227e+16
0.50535	2.27632e+13	1.00228e+16
0.506001	2.28107e+13	1.00228e+16
0.506651	2.28581e+13	1.00229e+16
0.507302	2.29056e+13	1.00229e+16
0.507953	2.29531e+13	1.00229e+16
0.508604	2.30005e+13	1.0023e+16
0.509254	2.3048e+13	1.0023e+16
0.509905	2.30955e+13	1.00231e+16
0.510556	2.31429e+13	1.00231e+16
0.511206	2.31904e+13	1.00232e+16
0.511857	2.32379e+13	1.00232e+16
0.512508	2.32853e+13	1.00233e+16
0.513159	2.33328e+13	1.00233e+16
0.513809	2.33802e+13	1.00234e+16
0.51446	2.34277e+13	1.00234e+16
0.515111	2.34752e+13	1.00235e+16
0.515762	2.35226e+13	1.00235e+16
0.516412	2.35701e+13	1.00236e+16
0.517063	2.36176e+13	1.00236e+16
0.517714	2.3665e+13	1.00237e+16
0.518365	2.37125e+13	1.00237e+16
0.519015	2.37599e+13	1.00238e+16
0.519666	2.38074e+13	1.00238e+16
0.520317	2.38549e+13	1.00239e+16
0.520967	2.39023e+13	1.00239e+16
0.521618	2.39498e+13	1.00239e+16
0.522269	2.39972e+13	1.0024e+16
0.52292	2.40447e+13	1.0024e+16
0.52357	2.40922e+13	1.00241e+16
0.524221	2.41396e+13	1.00241e+16
0.524872	2.41871e+13	1.00242e+16
0.525523	2.42345e+13	1.00242e+16
0.526173	2.4282e+13	1.00243e+16
0.526824	2.43295e+13	1.00243e+16
0.527475	2.43769e+13	1.00244e+16
0.528126	2.44244e+13	1.00244e+16
0.528776	2.44718e+13	1.00245e+16
0.529427	2.45193e+13	1.00245e+16
0.530078	2.45668e+13	1.00246e+16
0.530728	2.46142e+13	1.00246e+16
0.531379	2.46617e+13	1.00247e+16
0.53203	2.47091e+13	1.00247e+16
0.532681	2.47566e+13	1.00248e+16
0.533331	2.4804e+13	1.00248e+16
0.533982	2.48515e+13	1.00248e+16
0.534633	2.4899e+13	1.00249e+16
0.535284	2.49464e+13	1.00249e+16
0.535934	2.49939e+13	1.0025e+16
0.536585	2.50413e+13	1.0025e+16
0.537236	2.50888e+13	1.00251e+16
0.537887	2.51362e+13	1.00251e+16
0.538537	2.51837e+13	1.00252e+16
0.539188	2.52311e+13	1.00252e+16
0.539839	2.52786e+13	1.00253e+16
0.540489	2.5326e+13	1.00253e+16
0.54114	2.53735e+13	1.00254e+16
0.541791	2.5421e+13	1.00254e+16
0.542442	2.54684e+13	1.00255e+16
0.543092	2.55159e+13	1.00255e+16
0.543743	2.55633e+13	1.00256e+16
0.544394	2.56108e+13	1.00256e+16
0.545045	2.56582e+13	1.00257e+16
0.545695	2.57057e+13	1.00257e+16
0.546346	2.57531e+13	1.00257e+16
0.546997	2.58006e+13	1.00258e+16
0.547647	2.5848e+13	1.00258e+16
0.548298	2.58955e+13	1.00259e+16
0.548949	2.59429e+13	1.00259e+16
0.5496	2.59904e+13	1.0026e+16
0.55025	2.60378e+13	1.0026e+16
0.550901	2.60853e+13	1.00261e+16
0.551552	2.61327e+13	1.00261e+16
0.552203	2.61802e+13	1.00262e+16
0.552853	2.62276e+13	1.00262e+16
0.553504	2.62751e+13	1.00263e+16
0.554155	2.63225e+13	1.00263e+16
0.554806	2.637e+13	1.00264e+16
0.555456	2.64174e+13	1.00264e+16
0.556107	2.64649e+13	1.00265e+16
0.556758	2.65123e+13	1.00265e+16
0.557408	2.65598e+13	1.00266e+16
0.558059	2.66072e+13	1.00266e+16
0.55871	2.66547e+13	1.00266e+16
0.559361	2.67021e+13	1.00267e+16
0.560011	2.67496e+13	1.00267e+16
