x [um]	Electric Field [V/cm]	Electric Field [V/cm]
0.472813	2.1073	2.10731
0.473464	2.10728	2.10729
0.474115	2.10726	2.10727
0.474765	2.10724	2.10725
0.475416	2.10722	2.10723
0.476067	2.1072	2.10721
0.476718	2.10719	2.1072
0.477368	2.10717	2.10718
0.478019	2.10715	2.10716
0.47867	2.10713	2.10714
0.479321	2.10711	2.10712
0.479971	2.10709	2.1071
0.480622	2.10707	2.10708
0.481273	2.10705	2.10706
0.481924	2.10703	2.10704
0.482574	2.10701	2.10702
0.483225	2.10699	2.107
0.483876	2.10697	2.10698
0.484526	2.10695	2.10696
0.485177	2.10693	2.10694
0.485828	2.10691	2.10692
0.486479	2.10689	2.1069
0.487129	2.10687	2.10688
0.48778	2.10685	2.10686
0.488431	2.10683	2.10684
0.489082	2.10681	2.10682
0.489732	2.1068	2.10681
0.490383	2.10678	2.10679
0.491034	2.10676	2.10677
0.491685	2.10674	2.10675
0.492335	2.10672	2.10673
0.492986	2.1067	2.10671
0.493637	2.10668	2.10669
0.494287	2.10666	2.10667
0.494938	2.10664	2.10665
0.495589	2.10662	2.10663
0.49624	2.1066	2.10661
0.49689	2.10658	2.10659
0.497541	2.10656	2.10657
0.498192	2.10654	2.10655
0.498843	2.10652	2.10653
0.499493	2.1065	2.10651
0.500144	2.10648	2.10649
0.500795	2.10646	2.10647
0.501446	2.10644	2.10645
0.502096	2.10642	2.10643
0.502747	2.1064	2.10641
0.503398	2.10638	2.10639
0.504048	2.10636	2.10637
0.504699	2.10634	2.10635
0.50535	2.10632	2.10633
0.506001	2.1063	2.10631
0.506651	2.10628	2.10629
0.507302	2.10626	2.10627
0.507953	2.10624	2.10625
0.508604	2.10622	2.10623
0.509254	2.1062	2.10621
0.509905	2.10618	2.10619
0.510556	2.10616	2.10617
0.511206	2.10614	2.10615
0.511857	2.10612	2.10613
0.512508	2.1061	2.10611
0.513159	2.10608	2.10609
0.513809	2.10606	2.10607
0.51446	2.10604	2.10605
0.515111	2.10602	2.10603
0.515762	2.106	2.10601
0.516412	2.10598	2.10599
0.517063	2.10596	2.10597
0.517714	2.10594	2.10595
0.518365	2.10592	2.10593
0.519015	2.1059	2.10591
0.519666	2.10588	2.10589
0.520317	2.10586	2.10587
0.520967	2.10584	2.10585
0.521618	2.10582	2.10583
0.522269	2.1058	2.10581
0.52292	2.10578	2.10579
0.52357	2.10576	2.10577
0.524221	2.10574	2.10575
0.524872	2.10572	2.10573
0.525523	2.1057	2.10571
0.526173	2.10568	2.10569
0.526824	2.10566	2.10567
0.527475	2.10564	2.10565
0.528126	2.10562	2.10563
0.528776	2.1056	2.10561
0.529427	2.10558	2.10559
0.530078	2.10556	2.10557
0.530728	2.10554	2.10555
0.531379	2.10552	2.10553
0.53203	2.1055	2.10551
0.532681	2.10548	2.10549
0.533331	2.10546	2.10547
0.533982	2.10544	2.10545
0.534633	2.10542	2.10543
0.535284	2.1054	2.10541
0.535934	2.10538	2.10539
0.536585	2.10536	2.10537
0.537236	2.10534	2.10535
0.537887	2.10532	2.10533
0.538537	2.1053	2.10531
0.539188	2.10528	2.10529
0.539839	2.10526	2.10527
0.540489	2.10524	2.10525
0.54114	2.10522	2.10523
0.541791	2.1052	2.10521
0.542442	2.10518	2.10519
0.543092	2.10516	2.10517
0.543743	2.10514	2.10515
0.544394	2.10512	2.10513
0.545045	2.10509	2.10511
0.545695	2.10507	2.10508
0.546346	2.10505	2.10506
0.546997	2.10503	2.10504
0.547647	2.10501	2.10502
0.548298	2.10499	2.105
0.548949	2.10497	2.10498
0.5496	2.10495	2.10496
0.55025	2.10493	2.10494
0.550901	2.10491	2.10492
0.551552	2.10489	2.1049
0.552203	2.10487	2.10488
0.552853	2.10485	2.10486
0.553504	2.10483	2.10484
0.554155	2.10481	2.10482
0.554806	2.10479	2.1048
0.555456	2.10477	2.10478
0.556107	2.10475	2.10476
0.556758	2.10473	2.10474
0.557408	2.10471	2.10472
0.558059	2.10469	2.1047
0.55871	2.10467	2.10468
0.559361	2.10465	2.10466
0.560011	2.10463	2.10464
0.560662	2.10461	2.10462
0.561313	2.10459	2.1046
0.561964	2.10457	2.10458
0.562614	2.10455	2.10456
0.563265	2.10453	2.10454
0.563916	2.10451	2.10452
0.564567	2.10449	2.1045
0.565217	2.10447	2.10448
0.565868	2.10445	2.10446
0.566519	2.10443	2.10444
0.567169	2.1044	2.10442
0.56782	2.10438	2.10439
0.568471	2.10436	2.10437
0.569122	2.10434	2.10435
0.569772	2.10432	2.10433
0.570423	2.1043	2.10431
0.571074	2.10428	2.10429
0.571725	2.10426	2.10427
0.572375	2.10424	2.10425
0.573026	2.10422	2.10423
0.573677	2.1042	2.10421
0.574328	2.10418	2.10419
0.574978	2.10416	2.10417
0.575629	2.10414	2.10415
0.57628	2.10412	2.10413
0.57693	2.1041	2.10411
0.577581	2.10408	2.10409
0.578232	2.10406	2.10407
0.578883	2.10404	2.10405
0.579533	2.10402	2.10403
0.580184	2.104	2.10401
0.580835	2.10398	2.10399
0.581486	2.10396	2.10397
0.582136	2.10394	2.10395
0.582787	2.10392	2.10393
0.583438	2.1039	2.10391
0.584089	2.10388	2.10389
0.584739	2.10386	2.10387
0.58539	2.10383	2.10384
0.586041	2.10381	2.10382
0.586691	2.10379	2.1038
0.587342	2.10377	2.10378
0.587993	2.10375	2.10376
0.588644	2.10373	2.10374
0.589294	2.10371	2.10372
0.589945	2.10369	2.1037
0.590596	2.10367	2.10368
0.591247	2.10365	2.10366
0.591897	2.10363	2.10364
0.592548	2.10361	2.10362
0.593199	2.10359	2.1036
0.593849	2.10357	2.10358
0.5945	2.10355	2.10356
0.595151	2.10353	2.10354
0.595802	2.10351	2.10352
0.596452	2.10349	2.1035
0.597103	2.10347	2.10348
0.597754	2.10345	2.10346
0.598405	2.10343	2.10344
0.599055	2.10341	2.10342
0.599706	2.10339	2.1034
0.600357	2.10337	2.10338
0.601008	2.10334	2.10336
0.601658	2.10332	2.10333
0.602309	2.1033	2.10331
0.60296	2.10328	2.10329
0.60361	2.10326	2.10327
0.604261	2.10324	2.10325
0.604912	2.10322	2.10323
0.605563	2.1032	2.10321
0.606213	2.10318	2.10319
0.606864	2.10316	2.10317
0.607515	2.10314	2.10315
0.608166	2.10312	2.10313
0.608816	2.1031	2.10311
0.609467	2.10308	2.10309
0.610118	2.10306	2.10307
0.610769	2.10304	2.10305
