x [um]	Total Current Density [Amp/cm^2]
0.880822	4.18311
0.881473	4.18312
0.882124	4.18313
0.882775	4.18314
0.883425	4.18315
0.884076	4.18316
0.884727	4.18317
0.885378	4.18318
0.886028	4.18319
0.886679	4.18321
0.88733	4.18322
0.88798	4.18323
0.888631	4.18324
0.889282	4.18325
0.889933	4.18326
0.890583	4.18327
0.891234	4.18328
0.891885	4.18329
0.892536	4.1833
0.893186	4.18331
0.893837	4.18332
0.894488	4.18333
0.895139	4.18334
0.895789	4.18335
0.89644	4.18336
0.897091	4.18337
0.897741	4.18338
0.898392	4.1834
0.899043	4.18341
0.899694	4.18342
0.900344	4.18343
0.900995	4.18344
0.901646	4.18345
0.902297	4.18346
0.902947	4.18347
0.903598	4.18348
0.904249	4.18349
0.904899	4.1835
0.90555	4.18351
0.906201	4.18352
0.906852	4.18353
0.907502	4.18355
0.908153	4.18356
0.908804	4.18357
0.909455	4.18358
0.910105	4.18359
0.910756	4.1836
0.911407	4.18361
0.912058	4.18362
0.912708	4.18363
0.913359	4.18364
0.91401	4.18365
0.91466	4.18366
0.915311	4.18368
0.915962	4.18369
0.916613	4.1837
0.917263	4.18371
0.917914	4.18372
0.918565	4.18373
0.919216	4.18374
0.919866	4.18375
0.920517	4.18376
0.921168	4.18377
0.921819	4.18378
0.922469	4.1838
0.92312	4.18381
0.923771	4.18382
0.924421	4.18383
0.925072	4.18384
0.925723	4.18385
0.926374	4.18386
0.927024	4.18387
0.927675	4.18388
0.928326	4.1839
0.928977	4.18391
0.929627	4.18392
0.930278	4.18393
0.930929	4.18394
0.93158	4.18395
0.93223	4.18396
0.932881	4.18397
0.933532	4.18398
0.934182	4.184
0.934833	4.18401
0.935484	4.18402
0.936135	4.18403
0.936785	4.18404
0.937436	4.18405
0.938087	4.18406
0.938738	4.18407
0.939388	4.18409
0.940039	4.1841
0.94069	4.18411
0.94134	4.18412
0.941991	4.18413
0.942642	4.18414
0.943293	4.18415
0.943943	4.18416
0.944594	4.18418
0.945245	4.18419
0.945896	4.1842
0.946546	4.18421
0.947197	4.18422
0.947848	4.18423
0.948499	4.18424
0.949149	4.18426
0.9498	4.18427
0.950451	4.18428
0.951101	4.18429
0.951752	4.1843
0.952403	4.18431
0.953054	4.18432
0.953704	4.18434
0.954355	4.18435
0.955006	4.18436
0.955657	4.18437
0.956307	4.18438
0.956958	4.18439
0.957609	4.1844
0.95826	4.18442
0.95891	4.18443
0.959561	4.18444
0.960212	4.18445
0.960862	4.18446
0.961513	4.18447
0.962164	4.18449
0.962815	4.1845
0.963465	4.18451
0.964116	4.18452
0.964767	4.18453
0.965418	4.18454
0.966068	4.18456
0.966719	4.18457
0.96737	4.18458
0.968021	4.18459
0.968671	4.1846
0.969322	4.18461
0.969973	4.18463
0.970623	4.18464
0.971274	4.18465
0.971925	4.18466
0.972576	4.18467
0.973226	4.18468
0.973877	4.1847
0.974528	4.18471
0.975179	4.18472
0.975829	4.18473
0.97648	4.18474
0.977131	4.18475
0.977781	4.18477
0.978432	4.18478
0.979083	4.18479
0.979734	4.1848
0.980384	4.18481
0.981035	4.18483
0.981686	4.18484
0.982337	4.18485
0.982987	4.18486
0.983638	4.18487
0.984289	4.18489
0.98494	4.1849
0.98559	4.18491
0.986241	4.18492
0.986892	4.18493
0.987542	4.18495
0.988193	4.18496
0.988844	4.18497
0.989495	4.18498
0.990145	4.18499
0.990796	4.18501
0.991447	4.18502
0.992098	4.18503
0.992748	4.18504
0.993399	4.18505
0.99405	4.18507
0.994701	4.18508
0.995351	4.18509
0.996002	4.1851
0.996653	4.18511
0.997303	4.18513
0.997954	4.18514
0.998605	4.18515
0.999256	4.18516
0.999906	4.18517
1.00056	4.18519
1.00121	4.1852
