x [um]	Potential [V]	Electric Field1 [V/cm]	Electric Field2 [V/cm]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]	Total Charge Density [C/cm^3]	Conduction Band Energy (eV)
0.294513	-0.346552	-0.00525693	-0.00529882	22500	1e+16	8.43833e+09	0.898227
0.295163	-0.346552	-0.00517446	-0.0052157	22500	1e+16	8.30595e+09	0.898227
0.295814	-0.346552	-0.00509329	-0.00513388	22500	1e+16	8.17566e+09	0.898227
0.296465	-0.346552	-0.00501339	-0.00505334	22500	1e+16	8.04741e+09	0.898227
0.297116	-0.346552	-0.00493475	-0.00497407	22500	1e+16	7.92117e+09	0.898227
0.297766	-0.346552	-0.00485734	-0.00489604	22500	1e+16	7.79691e+09	0.898227
0.298417	-0.346552	-0.00478114	-0.00481924	22500	1e+16	7.6746e+09	0.898227
0.299068	-0.346552	-0.00470614	-0.00474364	22500	1e+16	7.55421e+09	0.898227
0.299719	-0.346552	-0.00463232	-0.00466923	22500	1e+16	7.4357e+09	0.898227
0.300369	-0.346552	-0.00455965	-0.00459599	22500	1e+16	7.31906e+09	0.898227
0.30102	-0.346552	-0.00448813	-0.00452389	22500	1e+16	7.20424e+09	0.898227
0.301671	-0.346552	-0.00441772	-0.00445292	22500	1e+16	7.09123e+09	0.898227
0.302321	-0.346552	-0.00434842	-0.00438307	22500	1e+16	6.97999e+09	0.898227
0.302972	-0.346552	-0.00428021	-0.00431431	22500	1e+16	6.87049e+09	0.898227
0.303623	-0.346552	-0.00421306	-0.00424664	22500	1e+16	6.76272e+09	0.898227
0.304274	-0.346552	-0.00414697	-0.00418002	22500	1e+16	6.65663e+09	0.898227
0.304924	-0.346552	-0.00408192	-0.00411445	22500	1e+16	6.55221e+09	0.898227
0.305575	-0.346552	-0.00401789	-0.00404991	22500	1e+16	6.44942e+09	0.898227
0.306226	-0.346552	-0.00395486	-0.00398637	22500	1e+16	6.34825e+09	0.898227
0.306877	-0.346552	-0.00389282	-0.00392384	22500	1e+16	6.24866e+09	0.898227
0.307527	-0.346552	-0.00383176	-0.00386229	22500	1e+16	6.15064e+09	0.898227
0.308178	-0.346552	-0.00377165	-0.0038017	22500	1e+16	6.05415e+09	0.898227
0.308829	-0.346552	-0.00371248	-0.00374206	22500	1e+16	5.95918e+09	0.898227
0.30948	-0.346552	-0.00365424	-0.00368336	22500	1e+16	5.8657e+09	0.898227
0.31013	-0.346552	-0.00359692	-0.00362558	22500	1e+16	5.77368e+09	0.898227
0.310781	-0.346552	-0.0035405	-0.00356871	22500	1e+16	5.68311e+09	0.898227
0.311432	-0.346552	-0.00348496	-0.00351273	22500	1e+16	5.59396e+09	0.898227
0.312082	-0.346552	-0.00343029	-0.00345762	22500	1e+16	5.50621e+09	0.898227
0.312733	-0.346552	-0.00337648	-0.00340338	22500	1e+16	5.41983e+09	0.898227
0.313384	-0.346552	-0.00332351	-0.00335	22500	1e+16	5.33481e+09	0.898227
0.314035	-0.346552	-0.00327138	-0.00329745	22500	1e+16	5.25112e+09	0.898227
0.314685	-0.346552	-0.00322006	-0.00324572	22500	1e+16	5.16875e+09	0.898227
0.315336	-0.346552	-0.00316955	-0.0031948	22500	1e+16	5.08766e+09	0.898227
