x [um]	Potential [V]	Electric Field1 [V/cm]	Electric Field2 [V/cm]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]	Total Charge Density [C/cm^3]	Conduction Band Energy (eV)
2.827995e-01	-3.465518e-01	-6.987686e-03	-7.043366e-03	2.249997e+04	1.000001e+16	1.121653e+10	8.982267e-01
2.834502e-01	-3.465518e-01	-6.878072e-03	-6.932879e-03	2.249998e+04	1.000001e+16	1.104057e+10	8.982267e-01
2.841009e-01	-3.465518e-01	-6.770177e-03	-6.824124e-03	2.249998e+04	1.000001e+16	1.086738e+10	8.982267e-01
2.847517e-01	-3.465518e-01	-6.663975e-03	-6.717076e-03	2.249998e+04	1.000001e+16	1.069690e+10	8.982267e-01
2.854024e-01	-3.465518e-01	-6.559436e-03	-6.611705e-03	2.249998e+04	1.000001e+16	1.052910e+10	8.982267e-01
2.860531e-01	-3.465518e-01	-6.456537e-03	-6.507987e-03	2.249998e+04	1.000001e+16	1.036393e+10	8.982267e-01
2.867039e-01	-3.465518e-01	-6.355253e-03	-6.405895e-03	2.249998e+04	1.000001e+16	1.020135e+10	8.982267e-01
2.873546e-01	-3.465518e-01	-6.255559e-03	-6.305406e-03	2.249998e+04	1.000001e+16	1.004132e+10	8.982267e-01
2.880053e-01	-3.465518e-01	-6.157430e-03	-6.206494e-03	2.249998e+04	1.000001e+16	9.883806e+09	8.982267e-01
2.886561e-01	-3.465518e-01	-6.060838e-03	-6.109134e-03	2.249998e+04	1.000001e+16	9.728759e+09	8.982267e-01
2.893068e-01	-3.465518e-01	-5.965762e-03	-6.013300e-03	2.249998e+04	1.000001e+16	9.576143e+09	8.982267e-01
2.899575e-01	-3.465518e-01	-5.872178e-03	-5.918970e-03	2.249998e+04	1.000001e+16	9.425922e+09	8.982267e-01
2.906083e-01	-3.465518e-01	-5.780062e-03	-5.826120e-03	2.249998e+04	1.000001e+16	9.278058e+09	8.982267e-01
2.912590e-01	-3.465518e-01	-5.689390e-03	-5.734726e-03	2.249998e+04	1.000001e+16	9.132513e+09	8.982267e-01
2.919097e-01	-3.465518e-01	-5.600142e-03	-5.644766e-03	2.249998e+04	1.000001e+16	8.989251e+09	8.982267e-01
2.925605e-01	-3.465518e-01	-5.512294e-03	-5.556218e-03	2.249998e+04	1.000001e+16	8.848236e+09	8.982267e-01
2.932112e-01	-3.465518e-01	-5.425821e-03	-5.469058e-03	2.249998e+04	1.000001e+16	8.709434e+09	8.982267e-01
2.938619e-01	-3.465518e-01	-5.340708e-03	-5.383265e-03	2.249998e+04	1.000001e+16	8.572809e+09	8.982267e-01
2.945127e-01	-3.465518e-01	-5.256929e-03	-5.298819e-03	2.249998e+04	1.000001e+16	8.438327e+09	8.982267e-01
2.951634e-01	-3.465518e-01	-5.174464e-03	-5.215696e-03	2.249998e+04	1.000001e+16	8.305955e+09	8.982267e-01
2.958141e-01	-3.465518e-01	-5.093293e-03	-5.133878e-03	2.249998e+04	1.000001e+16	8.175659e+09	8.982267e-01
2.964649e-01	-3.465518e-01	-5.013394e-03	-5.053344e-03	2.249998e+04	1.000001e+16	8.047407e+09	8.982267e-01
2.971156e-01	-3.465518e-01	-4.934750e-03	-4.974072e-03	2.249998e+04	1.000001e+16	7.921167e+09	8.982267e-01
2.977663e-01	-3.465518e-01	-4.857338e-03	-4.896044e-03	2.249998e+04	1.000001e+16	7.796908e+09	8.982267e-01
2.984171e-01	-3.465518e-01	-4.781142e-03	-4.819240e-03	2.249998e+04	1.000001e+16	7.674597e+09	8.982267e-01
2.990678e-01	-3.465518e-01	-4.706143e-03	-4.743643e-03	2.249998e+04	1.000001e+16	7.554206e+09	8.982267e-01
2.997185e-01	-3.465518e-01	-4.632319e-03	-4.669231e-03	2.249998e+04	1.000001e+16	7.435703e+09	8.982267e-01
3.003693e-01	-3.465518e-01	-4.559652e-03	-4.595985e-03	2.249998e+04	1.000001e+16	7.319058e+09	8.982267e-01
3.010200e-01	-3.465518e-01	-4.488125e-03	-4.523889e-03	2.249998e+04	1.000001e+16	7.204244e+09	8.982267e-01
3.016707e-01	-3.465518e-01	-4.417722e-03	-4.452924e-03	2.249998e+04	1.000001e+16	7.091231e+09	8.982267e-01
3.023214e-01	-3.465518e-01	-4.348420e-03	-4.383071e-03	2.249998e+04	1.000001e+16	6.979990e+09	8.982267e-01
